DLK1	DLK1	-1.0478307	-1.0117371	-1.0052623	1.4107966	9.329885	21.645956	63.76053
VWF	VWF	1.0623462	1.0419332	1.0460333	1.1403913	10.189393	18.852736	19.103296
DKFZP586H2123	DKFZP586H2123	-1.0623914	1.0133492	1.0351939	1.8288882	7.75906	14.862412	13.574473
DLK1	DLK1	1.0297652	1.1153157	1.131968	1.1895863	2.186736	4.062321	13.318099
SOX21	SOX21	-1.5569735	-1.5044247	-1.6336792	2.8677266	8.501992	13.125063	12.6157
IGFBP5	IGFBP5	-1.1684661	-1.0228524	1.3966864	7.8324327	10.579034	5.1847844	12.228936
EPHA4	EPHA4	1.1650963	1.3464549	1.0974854	1.2423083	4.828659	8.220239	12.227638
TXNIP	TXNIP	-1.1025742	1.2176197	1.116518	1.0094395	1.8261688	1.9627783	11.588868
FRZB	FRZB	1.006717	-1.0562085	-1.36536	1.077069	4.7005796	13.458786	11.383925
IGFBP5	IGFBP5	-1.0807867	1.0329235	1.5632602	5.2338357	7.891758	4.112358	10.586374
GPR177	GPR177	-1.1155744	-1.0583857	1.1030988	1.3916968	2.6592643	2.540633	9.575536
HES4	HES4	1.1056424	1.2217711	1.4380586	3.5000827	3.3959475	2.136475	9.306676
PAX6	PAX6	1.0940645	-1.0022458	1.0876983	-1.0455589	1.0971321	2.798911	8.826793
FZD2	FZD2	-1.3725563	-1.3902887	1.0009452	1.5220431	2.6613815	4.309559	8.724299
ENC1	ENC1	-1.1471373	-1.1278139	-1.1007462	1.0659935	1.384374	5.0653334	8.62921
CYP26A1	CYP26A1	-1.1510507	-1.1418077	-1.3047417	1.8149254	19.910511	22.190018	8.553966
NNAT	NNAT	1.1108108	1.2137375	1.0724326	1.1386951	3.126216	4.038072	8.316515
OTX2	OTX2	-1.0766345	-1.0633409	1.0080885	1.6536918	7.7989736	8.06876	8.29524
CNTFR	CNTFR	1.0382205	1.0650789	1.2111936	1.3539308	1.765741	3.2253864	8.156541
ACTA2	ACTA2	1.1182423	1.0422658	-1.1154958	1.8776689	5.0831494	3.765125	8.085047
GPR177	GPR177	-1.0046046	1.0221121	1.1989245	1.3320231	2.1585364	2.4258652	7.97251
ARHGAP15	ARHGAP15	1.0643114	1.1165389	1.057548	1.1806154	2.115294	4.2633843	7.859918
NNAT	NNAT	1.053996	1.174103	-1.0901825	-1.0347794	2.8075395	3.7509737	7.7928567
HS.71947		-1.0631433	1.0835042	1.0488213	1.070041	1.1971694	1.7007046	7.66623
MAP2	MAP2	1.01076	-1.0368005	1.1570891	1.4311609	2.3829768	2.2613556	7.6355753
ZNF521	ZNF521	-1.0748562	-1.181982	1.0983311	1.5120922	2.6878543	2.9498894	7.3231006
FJX1	FJX1	-1.4427687	-1.096901	-1.4413941	-1.1325469	1.6729996	4.8315287	7.2638817
DACH1	DACH1	1.1083684	1.0327973	1.0975295	1.6686125	2.215266	1.8658237	6.9570756
MT2A	MT2A	-1.0031414	1.8903161	1.0867677	2.1692386	1.0703402	2.1781282	6.831455
MAP2	MAP2	1.0009153	-1.0346854	1.1153784	1.2465469	2.3040037	2.1902165	6.7075014
SDK2	SDK2	-1.1066942	-1.1624789	-1.0390517	1.5462708	2.1502953	2.2768166	6.6036396
DLL1	DLL1	-1.2421187	-1.1653241	1.0530462	1.8524766	1.7972314	1.3847628	6.5183535
CDKN1A	CDKN1A	1.0327116	1.0814234	-1.1328589	1.1538581	-1.4526615	-1.1270314	6.405872
GPR56	GPR56	1.0838354	1.257038	1.2204108	1.3466902	1.3723879	1.8409886	6.3324013
GPR56	GPR56	1.1423836	1.1807973	1.2205595	1.4932866	1.4100049	1.9605671	6.2875094
HS.578507		1.1747108	-1.0173849	1.0713902	2.6264782	13.417307	19.650103	6.215948
FEZF1	FEZF1	-1.0116435	1.053979	1.0307645	1.1622667	2.6349475	4.43325	6.030654
SHISA2	SHISA2	1.4506817	1.533272	1.1207272	-1.5472935	5.1089435	7.2668085	6.002258
BTG2	BTG2	-1.1972296	1.0411546	-1.0346334	1.1650972	1.2821532	1.2632685	5.6064553
PNCK	PNCK	-1.0798942	1.1039933	1.194874	1.8413931	4.0485477	3.7709916	5.604024
IRX3	IRX3	-1.0142051	1.0195041	-1.110207	2.0914116	8.464529	4.1944323	5.541895
SPON1	SPON1	1.0069386	-1.0133541	-1.2165885	1.3161705	1.7700024	2.4477608	5.488877
POU3F2	POU3F2	1.1136652	1.0930176	1.1265997	1.1582321	1.4694806	1.887482	5.390038
MT1E	MT1E	1.1369025	2.04832	1.0349021	1.4886223	-1.4143803	2.2330458	5.322096
GAS1	GAS1	-1.181655	-1.2670162	1.0844997	1.7969195	1.7449366	2.4045138	5.317352
CCDC92	CCDC92	1.1401299	1.0441401	1.0434661	1.2303822	1.6136308	2.0012157	5.288678
GPC3	GPC3	-1.0480934	-1.0419234	-1.0908898	-1.0151312	1.2147632	1.765841	5.267402
ZFHX4	ZFHX4	1.0028106	1.0075873	1.061386	1.1608024	2.05486	2.9126968	5.188182
MAPK10	MAPK10	1.0287209	-1.0015651	1.1430017	1.1513501	2.5028484	5.3320093	5.1822104
HS.551307		1.221352	1.1062071	1.069641	1.7853373	5.3942657	7.572793	5.17213
SIPA1L2	SIPA1L2	-1.0808536	1.093777	1.3140397	1.6844317	1.8700607	2.0804846	5.0646453
NR2F2	NR2F2	1.1122187	1.0930319	1.0453101	1.1831173	1.6804246	2.1426458	4.798549
PRSS23	PRSS23	1.0857369	1.0585257	1.1410338	1.495658	3.4545095	3.5270264	4.788589
MN1	MN1	-1.1219423	-1.1861727	1.0443816	2.1478853	2.780812	3.2884786	4.7689633
ARRDC4	ARRDC4	-1.0091605	1.0759767	1.1861213	1.1683291	1.4855057	1.7710817	4.764064
LOC401720	LOC401720	-1.3202726	-1.3281533	-1.2829105	2.86449	5.1396546	4.581218	4.712982
CCNG2	CCNG2	1.0484129	-1.1919338	1.1306907	1.2151906	2.622604	3.3720303	4.6747694
SMOC1	SMOC1	1.0447048	1.0264151	-1.0140083	1.286276	2.3771014	3.7495298	4.5871906
HS.7023		1.1257349	1.0004276	1.1022552	1.6668888	2.9718618	3.4955602	4.5229826
NBL1	NBL1	-1.1496121	-1.0330048	-1.1276699	-1.0435791	1.2973899	1.3539479	4.4192667
RDM1	RDM1	1.0247464	1.0838319	1.2792166	1.7965902	1.7536058	1.3578945	4.387942
SP8	SP8	-1.4323785	-1.1571828	-1.0302669	1.6141065	1.3973416	1.8748039	4.3390236
NETO2	NETO2	1.0010852	1.1200727	1.1113447	-1.0245916	1.24201	2.8204343	4.1944647
LMO1	LMO1	1.0615492	1.0898002	1.0875645	1.1705711	2.6244733	6.9272184	4.185182
LPAR1	LPAR1	-1.2306432	-1.1478623	-1.0942243	1.3039757	2.5960603	3.9369001	4.1589246
ZEB2	ZEB2	-1.064486	-1.0336659	-1.047828	1.397954	4.089421	5.500832	4.130775
CLIP3	CLIP3	-1.1579885	-1.083852	-1.4021323	1.3514397	2.9494412	3.0488374	4.0047874
GAS1	GAS1	-1.0321491	1.0122808	1.1306267	1.5489343	1.5864782	2.0617392	3.9966972
GADD45A	GADD45A	1.0997972	1.3146926	1.0083898	-1.0937659	1.22128	1.6501942	3.964439
DDIT4	DDIT4	1.5707237	1.9953976	1.3208333	1.9263453	2.1572573	1.1799928	3.9567096
NCALD	NCALD	1.0606197	-1.1338882	-1.389564	1.1992631	2.0174122	1.3236605	3.951339
IL1RAPL1	IL1RAPL1	1.0557752	-1.0147742	1.0158305	1.3936616	2.569486	2.9544759	3.9502187
C1ORF187	C1orf187	1.086024	-1.004924	-1.0600846	-1.0672393	1.7278473	2.6117308	3.928993
H2AFY2	H2AFY2	-1.1018907	1.022153	1.2308726	1.2977121	1.8244644	2.6067526	3.9203181
CYP26A1	CYP26A1	-1.0539333	-1.0670551	1.0153037	1.4239914	10.253903	10.3762455	3.9189346
MN1	MN1	-1.0809323	-1.2172779	1.1116588	2.2143488	2.7746177	2.8554254	3.8820038
SSBP2	SSBP2	-1.2431549	-1.080936	1.2047324	2.071596	2.7247565	2.0224664	3.8675277
HS.181245		-1.2126172	-1.1555839	1.087186	1.1289349	2.0885408	3.11203	3.8349278
WSB1	WSB1	1.3660963	1.4298369	1.4466374	1.4792577	2.010616	1.4032726	3.8238642
RAX	RAX	-1.0999652	-1.057588	1.0859518	-1.031344	1.2171487	1.4012963	3.8111098
TLE4	TLE4	-1.407116	-1.0207016	1.0953267	1.4595119	1.7401451	1.7664562	3.802712
LGALS1	LGALS1	-1.0958655	1.1198626	-1.3507622	1.0081042	1.3776754	1.5217979	3.8009996
PDLIM7	PDLIM7	-1.059142	-1.0059413	-1.0228925	1.8133973	1.8122677	1.3363587	3.7838922
MAPK10	MAPK10	-1.0547625	-1.0466166	-1.0216609	-1.0218804	1.7554563	2.9933314	3.7384994
TMEM88	TMEM88	-1.0062673	-1.0169247	1.1409979	1.2141267	1.7849779	2.6760366	3.6976497
LGI1	LGI1	1.0568814	-1.0463682	1.0082873	-1.0860807	1.0935667	2.9806497	3.6893854
RNF165	RNF165	-1.023329	1.065656	-1.0413781	-1.0974469	1.1923927	1.6433617	3.6841345
SP8	SP8	-1.300003	-1.1194885	1.0777757	1.3346872	1.3894091	1.8598053	3.6686869
